2018-11-20 06:24:47.0700 Info Loading Cardigann definition /app/Jackett/Definitions/sharespacedb.yml 
2018-11-20 06:24:47.0983 Info Loading Cardigann definition /app/Jackett/Definitions/shellife.yml 
2018-11-20 06:24:47.1130 Info Loading Cardigann definition /app/Jackett/Definitions/sktorrent.yml 
2018-11-20 06:24:47.1322 Info Loading Cardigann definition /app/Jackett/Definitions/skytorrentsclone.yml 
2018-11-20 06:24:47.1525 Info Loading Cardigann definition /app/Jackett/Definitions/speed-share.yml 
2018-11-20 06:24:47.1950 Info Loading Cardigann definition /app/Jackett/Definitions/speedtorrentreloaded.yml 
2018-11-20 06:24:47.2177 Info Loading Cardigann definition /app/Jackett/Definitions/sporthd.yml 
2018-11-20 06:24:47.2410 Info Loading Cardigann definition /app/Jackett/Definitions/sportscult.yml 
2018-11-20 06:24:47.2618 Info Loading Cardigann definition /app/Jackett/Definitions/sukebei-pantsu.yml 
2018-11-20 06:24:47.2782 Info Loading Cardigann definition /app/Jackett/Definitions/sukebeinyaasi.yml 
2018-11-20 06:24:47.2934 Info Loading Cardigann definition /app/Jackett/Definitions/tasmanit.yml 
2018-11-20 06:24:47.3122 Info Loading Cardigann definition /app/Jackett/Definitions/tbplus.yml 
2018-11-20 06:24:47.3379 Info Loading Cardigann definition /app/Jackett/Definitions/tenyardtracker.yml 
2018-11-20 06:24:47.3562 Info Loading Cardigann definition /app/Jackett/Definitions/theempire.yml 
2018-11-20 06:24:47.3786 Info Loading Cardigann definition /app/Jackett/Definitions/thegeeks.yml 
2018-11-20 06:24:47.4052 Info Loading Cardigann definition /app/Jackett/Definitions/thehorrorcharnel.yml 
2018-11-20 06:24:47.4251 Info Loading Cardigann definition /app/Jackett/Definitions/theoccult.yml 
2018-11-20 06:24:47.4473 Info Loading Cardigann definition /app/Jackett/Definitions/thepiratebay.yml 
2018-11-20 06:24:47.4751 Info Loading Cardigann definition /app/Jackett/Definitions/theplace.yml 
2018-11-20 06:24:47.4995 Info Loading Cardigann definition /app/Jackett/Definitions/theshinning.yml 
2018-11-20 06:24:47.5206 Info Loading Cardigann definition /app/Jackett/Definitions/theshow.yml 
2018-11-20 06:24:47.5474 Info Loading Cardigann definition /app/Jackett/Definitions/thetorrents.yml 
2018-11-20 06:24:47.5703 Info Loading Cardigann definition /app/Jackett/Definitions/thevault.yml 
2018-11-20 06:24:47.5918 Info Loading Cardigann definition /app/Jackett/Definitions/tntvillage.yml 
2018-11-20 06:24:47.6112 Info Loading Cardigann definition /app/Jackett/Definitions/tokyotosho.yml 
2018-11-20 06:24:47.6291 Info Loading Cardigann definition /app/Jackett/Definitions/torlock.yml 
2018-11-20 06:24:47.6459 Info Loading Cardigann definition /app/Jackett/Definitions/torrent-turk.yml 
2018-11-20 06:24:47.6689 Info Loading Cardigann definition /app/Jackett/Definitions/torrent9.yml 
2018-11-20 06:24:47.6864 Info Loading Cardigann definition /app/Jackett/Definitions/torrentbd.yml 
2018-11-20 06:24:47.7140 Info Loading Cardigann definition /app/Jackett/Definitions/torrentccf.yml 
2018-11-20 06:24:47.7375 Info Loading Cardigann definition /app/Jackett/Definitions/torrentcouch.yml 
2018-11-20 06:24:47.7520 Info Loading Cardigann definition /app/Jackett/Definitions/torrentdownloads.yml 
2018-11-20 06:24:47.7681 Info Loading Cardigann definition /app/Jackett/Definitions/torrentgalaxyorg.yml 
